日立製作所は２５日、大みか事業所（茨城県日立市）でＩｏＴ（モノのインターネット）技術を用いた改善活動を実施し、多品種少量生産を行う制御装置の一部についてリードタイムを半減させたと発表した。人や設備の,テクノロジー
ドイツの高級車、メルセデスベンツは10月25日、スウェーデンにおいて、ピックアップトラックのスタディモデル、『コンセプト Xクラス』を初公開した。,テクノロジー
トーヨータイヤ（東洋ゴム）の米国法人、トーヨータイヤUSAは10月25日、米国ラスベガスで11月1日に開幕するSEMAショー16において、テスラ『モデルX』のカスタマイズカーを初公開すると発表した。,テクノロジー
任天堂&lt;7974&gt;は、2017年1月14日・15日に「Nintendo Switch 体験会 2017」を東京ビッグサイトで開催することを明らかにした。こちらの体験会は、発売前のNinte...,テクノロジー
楽天会員向けに、スマホ決済アプリ「楽天ペイ」が登場。クレジットカード情報と連携させ、実店舗でアプリだけで支払いができる。,テクノロジー
2016年9月に発売されたAppleの新型スマートフォン「iPhone 7」。一部では、あまり目新しい新機能が搭載されておらず「新鮮味に欠ける」との評価を受けているが、分解して中身をみると、これまでのiPhoneから“大変身”を果たしているのだ。今回は、これまでのiPhoneとiPhone 7の中身を比較しつつ、どうして“大変身”が成されたのかを考察していこう。,テクノロジー
Microsoftが液晶一体型デスクトップPC「Surface Studio」を発表した。,テクノロジー
■ＬＧディスプレー（韓国の液晶パネル大手）26日、次代の収益柱と期待する有機ＥＬ事業が営業損益ベースで2019年に黒字転換するとの見通しを表明した。現在は55型の有機ＥＬパネルがテレビ用生産の約７],テクノロジー
IBMが社運をかけて商用化を進めているAIコンピュータ「ワトソン」が、「医療」をはじめ様々な応用分野で実力の片鱗を見せ始めている,テクノロジー
Microsoftは今（米国時間10/26）、ニューヨークで報道陣向けのカンファレンスをやっている。そこで発表されるものには、拡張現実(AR)や仮想現実(VR)など、3Dと、ありとあらゆる‘現実’(realities)ものが多い。同社はその積極姿勢の一環として、PCメーカー5社とのパートナーシップにより、Windo..,テクノロジー
Fujisawa SST協議会とヤマト運輸は、Fujisawa サスティナブル・スマートタウン（Fujisawa SST）に、街全体の総合的な物流インフラとなる「ネクストデリバリースクエア」を11月1日に開業すると発表した。,ビジネス
株式会社サンリオ(東京都品川区)の関連会社で香港現地法人のサンリオ・ウエーブ・ホンコンは20日、ベトナムで...,ビジネス
ソニーは26日、民生用カメラや放送機材などを手掛ける事業組織を分社すると発表した。全額出資子会社を新設し、2017年４月１日の営業開始を目指す。ソニーは2015年にエレクトロニクス部門を事業ごとに分,ビジネス
平均単価4万円の傘が、都内などの高級デパートや海外で人気を集めている。そんな高価格帯の傘を作っているのが、福井県にある福井洋傘だ。同社はおよそ30年前、廃業寸前の危機に陥っていたが、いかに大復活を遂げたのか。,ビジネス
記者会見する任天堂の君島達己社長＝26日午後、大阪市任天堂が26日発表した2016年9月中間連結決算は、営業損益が59億円の赤字（前年同期は89億円の黒字）に転落した。据え置き型ゲーム機の販売減に加え、円高で海外での収入が目減りしたことが...,ビジネス
経済成長と人口増加が続く東南アジアのインドネシアで、日本の大手商社や官民ファンドなどが連合を組み、首都ジャカルタ郊外に住宅や商業施設を整備す…,ビジネス
拡大を続ける中国の高速鉄道。現在、総距離（営業キロ）は2万kmを超え、さらなる高速化も進んでいる。また、駅のターミナル化も進んでおり、利便性が向上すれば、中国人の国内旅行のスタイルが変わるかもしれない。,ビジネス
英たばこ大手ブリティッシュ・アメリカン・タバコ（ＢＡＴ）(BATS.L)による同業米レイノルズ・アメリカン(RAI.N)への４７０億ドルの買収提案で、急変する電子たばこ（ｅ－シガレット）,ビジネス
第2回 テクノベート・フォーラム 健康寿命延伸に向けた個別化医療とヘルスケアIT事業 テクノベート・フォーラム2回目は、業界、業種を超えて注目されている「ヘルスケア×IT」。日本のヘルスケア産業の課題と可能性を俯瞰し、ビジネス機会と新たな価値...,ビジネス
JR東日本仙台支社は10月26日、「懐かしの急行列車で行く東京おとな旅」と題した旅行商品の発売を始めた。かつての客車急行列車を模した列車で東京を訪ねるもので、12月3日に実施する。,ビジネス
環太平洋経済連携協定（ＴＰＰ）の承認案をめぐり、衆院ＴＰＰ特別委員会では２７日午前、参考人質疑が始まった。同日午後には安倍晋三首相が出席する集中審議が行われ、衆院でのＴＰＰ審議は大詰めを迎えつつある…,政治・経済
［シャーロット（米ノースカロライナ州）２６日ロイター］ - 米大統領選挙の共和党候補ドナルド・トランプ氏は２６日、黒人や労働者階級の支持獲得を狙い、都市部での雇用創出や投資を促進するために銀行業の「２１世紀型」改革と税制改革を実施すると公約した。,政治・経済
「独島（竹島）に言及した場合、微笑を見せるだけにすること」といった文言もあった。,政治・経済
米大統領選の共和党候補のトランプ氏が経営する「トランプ・インターナショナル・ホテル」が２６日、米ワシントンで正式に開業した。選挙戦で苦戦が伝えられるトランプ氏は遊説活動を一時離脱し、式典に参加。ホテ…,政治・経済
［東京２７日ロイター］ - 日銀の岩田規久男副総裁は２７日、参院財政金融委員会で、日銀が９月に政策の軸足を「量」から「金利」に転換し、イールドカーブ・コントロール（長短金利操作、ＹＣＣ）を導入したことについて、長期金利の操作目標の実現には多額の国債買い入れが不可欠であり、量の面を重視していることに変わりはない、との見解を示した。,政治・経済
自民党の税制調査会は、来年度の税制改正で焦点となっている、麦芽の比率などによって税率が異なる「ビール系飲料」の酒税の一本化について、メーカー…,政治・経済
総務省が２６日発表した２０１５年１０月実施の国勢調査の確定値によると、外国人を含む日本の総人口は１億２７０９万４７４５人と、１０年の前回調査に比べ０．８％（９６万２６０７人）減少した。国勢調査で総人口が減少したのは１９２０年の調査開始以来初めて。出生数が死亡,政治・経済
自民党の小泉進次郎・農林部会長ら若手議員が２６日、２０２０年以降の社会保障改革のあり方について提言をまとめた。定期検診などで健康管理に努めた人を対象に、医療保険の自己負担を３割から２割に引き下げる「…,政治・経済
［ニューヨーク２６日ロイター］ - ロイター／イプソスが２６日公表した米大統領選に関する世論調査では、共和党支持者の間で同党候補ドナルド・トランプ氏よりも民主党候補ヒラリー・クリントン氏の勝利を予想する人の方が多いという結果が出た。,政治・経済
［東京２６日ロイター］ - 安倍晋三首相とフィリピンのドゥテルテ大統領は２６日に会談し、中国がほぼ全域の領有権を主張する南シナ海問題について、平和的解決に向けて協力することで一致した。同大統領は、国際仲裁裁判所の判断は拘束力があるとの認識を示し、「日本の側に立つ」と語った。,政治・経済
［東京２６日ロイター］ - 安倍晋三首相の経済ブレーンで内閣官房参与を務める浜田宏一・米イエール大名誉教授は２６日、ロイターとのインタビューで、雇用情勢の改善を持続させるには、金融緩和の効果を増大させる財政拡張が重要と語った。,政治・経済
［東京２７日ロイター］ - 前場の東京株式市場で、日経平均株価は前営業日比５０円６１銭安の１万７３４１円２３銭と４日ぶりに反落した。前日までの連日高の反動に加え、短期的な過熱感を示すテクニカル指標などを背景に高値警戒感が広がり、利益確定売りが優勢となった。２６日に通期予想の下方修正を発表したキヤノン<7751.T>などが売られたことも投資家心理の後退につながった。,金融・マーケット
［２６日ロイター］ - 米顧客情報管理（ＣＲＭ）大手セールスフォース・ドット・コム<CRM.N>のマーク・ベニオフ最高経営責任者（ＣＥＯ）は２６日、短文投稿サイトの米ツイッター<TWTR.N>買収を断念した経緯について、計画を知った株主が懸念を表明したためだと明らかにした。,金融・マーケット
フィットネスクラブ運営会社「ＲＩＺＡＰ（ライザップ）グループ」の子会社の前社長男性（５０）が、アパレル関連会社とライザップの業務提携契約の公表前に、ライザップ株…,金融・マーケット
長期固定型の住宅ローン「フラット３５」を取り扱う、民間金融機関の「優良住宅ローン」は、電子メールを管理するサーバーが不正にアクセスされ、ロー…,金融・マーケット
高齢者は日本の金融資産の圧倒的に大きな部分を持っており、金融機関のリテール・ビジネスのターゲットとなっている。そんな高齢者には高齢者特有の判断ミスの癖が幾つかあるように思われる。そこで、高齢者がお金を運用する上で特に気をつけておきたいポイントを3つご説明する。,金融・マーケット
環境省は、企業や自治体が再生可能エネルギーや建物の省エネ化などへの資金を調達するために発行する債券「グリーンボンド」について日本版の指針を今年度中につくることを決めた。２８日に省内に検討会を立ち上げ…,金融・マーケット
