ＪＲ九州は、東京証券取引所に上場しました。ＪＲでは、東日本、西日本、東海に続く４社目の上場です。昭和６２年に旧国鉄が分割・民営化されて以来、多くの赤字路線を抱え、厳しい経営が続いたＪＲ九州。ついにたどりついた上場は３０年越しの悲願と言えるものでした。ＪＲ九州はいかにして上場を成し遂げたのか。そこには「鉄道会社」として、従来のビジネスモデルを超えた挑戦がありました。,ビジネス
配車サービスを手がけるウーバーは、青空の下で展開されるような非現実的なアイディアに溢れている。,ビジネス
東京メトロが経営資源を提供し、スタートアップ企業とコラボレーションする取り組みが始まりました。目的は「東京の発展に寄与する新たな価値をともに創造」すること。新しい「東京」が、ここから生まれてくる可能性があります。また今後、「街の発展」を考えるにあたって、こうした取り組みは注目すべき要素になるかもしれません。,ビジネス
スマホとつながるバリスタ i［アイ］新登場。今までの「バリスタ」の機能はそのまま、「ネスカフェ アプリ」を使うことで、飲み方・楽しみ方がさらに広がります。,ビジネス
日産自動車は英国政府に対して欧州連合（ＥＵ）離脱後に同国内の生産を停止する公算があると伝えた後で、同国での投資継続を決定した。非公開の協議の事情を知る関係者１人が28日に明らかにした。,ビジネス
臭素酸で飲料水746万本を回収 ポッカサッポロフード＆ビバレッジ（名古屋市）は29日、2リットルのペットボトル入り飲料水「富士山麓のきれいな水」と「富士山の清らかな水」を、計746万6658本回収すると発表した。 山梨県が28日に,ビジネス
イギリスの有名ブランド、バーバリーグループとの契約が打ち切られ、業績が低迷しているアパレルメーカーの三陽商会は、来年の夏までに、新たに全国の,ビジネス
大手電機メーカーのソニーは、グループ会社の役員と社員が取り引き業者への架空の発注などの不正を行い、およそ９億円の損失が発生したと発表しました,ビジネス
ＪＲ九州が来春から、九州新幹線の筑後船小屋駅（福岡県筑後市）と新大牟田駅（同県大牟田市）のホームに駅員を置かない方針を固めたことが２９日、明らかになった。今年４月に全国で初めて新幹線のホームを無人化,ビジネス
広島の黒田博樹は、20年間「SSK」の野球用具を使い続けている。メジャーに移籍すると他社製に乗り換える選手も多いが、黒田はぶれなかった。恩師も「そういうところが、黒田の偉いところ」と感心していたそう,スポーツ
シーズン最終戦。代打で出場したイチローは今季を象徴する「1本締め」でメジャー16年目のシーズンを締めくくった。,スポーツ
オンタリオ州ミシサガで男子シングル・ショートプログラムが行われ、羽生結弦は79.65点で4位となった。,スポーツ
米イリノイ州シカゴで男子シングル・ショートプログラムが行われ、宇野昌磨が89.15点で首位に立った。,スポーツ
米イリノイ州シカゴで女子シングル・ショートプログラムが行われ、浅田真央は64.47点で5位につけた。,スポーツ
米イリノイ州シカゴで女子シングル・フリースケーティングが行われ、三原舞依が合計189.28点で3位に入った。,スポーツ
東京都秋季大会の準々決勝が29日に行われ、ダイワハウススタジアム八王子で行われた第1試合で、早稲田実が今夏の東東京優勝校の関東一に8-4で勝利し、4強進出を決めた。,スポーツ
イングランド・プレミアリーグは19日、第31節の試合が行われ、首位のレスター・シティは1-0でクリスタルパレスに勝利し、暫定で2位との勝ち点差を8に広げた。,スポーツ
